ホーム,アウェイ,ホームスコア,アウェイスコア
清水エスパルス,鹿島アントラーズ,2,3
ガンバ大阪,FC東京,3,0
ベガルタ仙台,ヴィッセル神戸,0,2
アルビレックス新潟,清水エスパルス,0,2
コンサドーレ札幌,セレッソ大阪,1,1
サガン鳥栖,サンフレッチェ広島,1,0
大宮アルディージャ,ジュビロ磐田,1,2
浦和レッズ,ヴァンフォーレ甲府,4,1
鹿島アントラーズ,横浜F・マリノス,1,0
川崎フロンターレ,柏レイソル,2,1
川崎フロンターレ,サガン鳥栖,1,1
柏レイソル,ガンバ大阪,1,3
横浜F・マリノス,コンサドーレ札幌,3,0
ヴィッセル神戸,アルビレックス新潟,2,1
FC東京,大宮アルディージャ,2,0
ジュビロ磐田,ベガルタ仙台,0,1
ヴァンフォーレ甲府,鹿島アントラーズ,0,1
サンフレッチェ広島,清水エスパルス,0,1
浦和レッズ,セレッソ大阪,3,1
ガンバ大阪,ヴァンフォーレ甲府,1,1
大宮アルディージャ,川崎フロンターレ,0,2
セレッソ大阪,ジュビロ磐田,0,0
サガン鳥栖,柏レイソル,1,3
サンフレッチェ広島,アルビレックス新潟,1,1
ベガルタ仙台,コンサドーレ札幌,1,0
鹿島アントラーズ,FC東京,0,1
清水エスパルス,ヴィッセル神戸,0,1
横浜F・マリノス,浦和レッズ,3,2
